entry_id,file_id,att_id,hours,rate,amount,description,entry_date
BL-692060,MAT-1001,AT-002,10.0,375,3750.0,Drafted motion,1654504480
BL-927962,MAT-1002,AT-009,6.2,250,,Court appearance,1644654880
BL-967030,MAT-1003,AT-009,1.2,300,$360.00,Document review,1612427680
BL-857611,MAT-1004,AT-007,1.4,300,,Negotiation,29-Jan-2022
BL-271119,MAT-1005,AT-001,4.4,300,"$1,320.00",Reviewed contract,18/10/2022
BL-880179,MAT-1006,AT-006,5.8,300,,Reviewed contract,1719477280
BL-608063,MAT-1007,AT-010,9.8,300,2940.0,Negotiation,2024-12-05
BL-341668,MAT-1008,AT-001,2.4,300,720,Drafted motion,2021-09-25
BL-569052,MAT-1009,AT-006,6.1,375,,Court appearance,02-Dec-2024
BL-740441,MAT-1010,AT-005,6.5,300,1950.0,Court appearance,09/06/2024
BL-383619,MAT-1011,AT-010,9.7,300,2910.0,Client call,26/11/2024
BL-700402,MAT-1012,AT-001,1.3,250,$325,Court appearance,13/08/2024
BL-975624,MAT-1013,AT-003,9.8,300,2940.0,Negotiation,03/01/2022
BL-443276,MAT-1014,AT-010,3.4,375,1275.0,Prepared discovery,20/07/23
BL-746972,MAT-1015,AT-006,7.5,300,"""2,250.00""",Client call,10/01/2022
BL-926109,MAT-1016,AT-003,1.4,375,$525.00,Reviewed contract,05-Apr-2025
BL-600472,MAT-1017,AT-007,6.2,250,1550.0,Research,15/01/2021
BL-672172,MAT-1018,AT-006,9.8,250,2450,Prepared discovery,2024-10-08
BL-628734,MAT-1019,AT-004,6.3,250,1575.0,Drafted motion,29-Apr-2023
BL-256923,MAT-1020,AT-004,1.9,250,475.0,Document review,01/01/22
BL-696574,MAT-1021,AT-006,8.1,300,2430.0,Court appearance,03/02/2024
BL-106802,MAT-1022,AT-008,2.4,250,$600.00,Research,24-Oct-2025
BL-998300,MAT-1023,AT-006,7.8,375,2925.0,Reviewed contract,17/03/2024
BL-406819,MAT-1024,AT-001,5.0,375,1875.0,Prepared discovery,03-Jan-2023
BL-870358,MAT-1025,AT-006,5.5,375,,Prepared discovery,1662626080
BL-124429,MAT-1026,AT-007,8.8,250,"2,200",Research,17/01/21
BL-499013,MAT-1027,AT-001,5.5,300,,Research,25/11/22
BL-538373,MAT-1028,AT-003,7.7,375,2887,Drafted motion,2023-08-17
BL-166601,MAT-1029,AT-002,4.0,250,1000.0,Negotiation,23-Sep-2021
BL-904234,MAT-1030,AT-002,8.4,300,"""2,520.00""",Negotiation,31/03/2023
BL-634064,MAT-1031,AT-007,2.5,300,,Drafted motion,04/08/2024
BL-663218,MAT-1032,AT-008,0.6,250,150.0,Research,11/07/2024
BL-711659,MAT-1033,AT-009,7.5,250,,Prepared discovery,20/12/21
BL-790974,MAT-1034,AT-010,4.2,300,"€1,260",Negotiation,23/01/22
BL-896358,MAT-1035,AT-008,8.0,300,"""2,400.00""",Document review,2021-05-25
BL-266233,MAT-1036,AT-006,9.3,250,,Prepared discovery,22/01/25
BL-923054,MAT-1037,AT-005,7.8,300,,Document review,07/06/2021
BL-820600,MAT-1038,AT-007,1.7,375,,Reviewed contract,1685435680
BL-146519,MAT-1039,AT-007,5.9,375,"2,212",Client call,11-Jul-2022
BL-177844,MAT-1040,AT-001,9.5,375,3562.5,Client call,04/01/2023
BL-247733,MAT-1041,AT-002,4.1,375,,Court appearance,01/11/25
BL-608290,MAT-1042,AT-009,4.0,300,1200.0,Drafted motion,1631867680
BL-782547,MAT-1043,AT-004,6.5,300,,Court appearance,1658738080
BL-284766,MAT-1044,AT-006,6.5,375,2437.5,Court appearance,24/06/22
BL-324665,MAT-1045,AT-006,2.1,375,,Reviewed contract,13/02/2022
BL-502233,MAT-1046,AT-001,5.5,250,"$1,375.00",Reviewed contract,04/05/2023
BL-880719,MAT-1047,AT-003,9.2,250,"$2,300",Court appearance,10/10/2025
BL-130770,MAT-1048,AT-009,6.7,375,2512.5,Document review,1718440480
BL-240856,MAT-1049,AT-002,8.5,250,,Court appearance,1612686880
BL-619865,MAT-1050,AT-007,2.5,375,,Client call,27/07/2021
BL-179611,MAT-1051,AT-009,1.0,300,,Client call,17/01/23
BL-148923,MAT-1052,AT-010,9.8,375,,Negotiation,27-Jan-2024
BL-285153,MAT-1053,AT-002,5.8,375,,Reviewed contract,1753000480
BL-392839,MAT-1054,AT-008,2.1,250,525.0,Client call,1746088480
BL-474137,MAT-1055,AT-010,7.1,300,2130.0,Court appearance,16/11/25
BL-819363,MAT-1056,AT-004,1.5,250,$375.00,Negotiation,2022-12-17
BL-423401,MAT-1057,AT-003,7.2,250,,Negotiation,12/02/2021
BL-678191,MAT-1058,AT-002,8.8,375,3300.0,Research,1656491680
BL-329266,MAT-1059,AT-001,8.6,250,"$2,150",Court appearance,28/12/23
BL-515490,MAT-1060,AT-002,5.8,375,"2,175",Drafted motion,12/11/25
BL-201569,MAT-1061,AT-001,0.7,250,175.0,Negotiation,18-Jul-2022
BL-167565,MAT-1062,AT-004,4.3,375,,Prepared discovery,2025-01-16
BL-178812,MAT-1063,AT-004,6.8,250,,Prepared discovery,01/10/2025
BL-988410,MAT-1064,AT-002,8.4,300,"""2,520.00""",Reviewed contract,01/07/2025
BL-506339,MAT-1065,AT-002,8.7,250,2175,Court appearance,19/09/25
BL-614774,MAT-1066,AT-003,0.8,375,,Document review,16/11/2023
BL-678192,MAT-1067,AT-001,4.6,250,1150.0,Research,20-Aug-2024
BL-128544,MAT-1068,AT-002,9.6,375,"$3,600",Prepared discovery,2023-07-23
BL-137399,MAT-1069,AT-005,8.5,375,"$3,187.50",Document review,20/10/23
BL-137219,MAT-1070,AT-006,6.8,375,2550.0,Research,10/05/25
BL-130742,MAT-1071,AT-010,4.3,250,1075.0,Reviewed contract,25-Jan-2021
BL-100126,MAT-1072,AT-008,3.4,375,,Client call,1704789280
