matter_id,client_ref,title,practice_area,opened_on,lead_attorney,estimated_value
MAT-1001,CL-1001,Healthcare Solutions Inc v. ACME Corp - Employment Dispute,Tax,20/05/2025,Daniel Park,7902
MAT-1002,CL-1002,Aerospace Solutions Inc - Regulatory Inquiry,Environmental,02/03/22,Michael Brown,6815
MAT-1003,CL-1003,Finance Group LLC - Master Services Agreement Negotiation,Environmental,29/08/2025,Hannah Lee,41K
MAT-1004,CL-1004,Construction Systems - Regulatory Inquiry,Litigation,1722501280,Hannah Lee,"$14,790.00"
MAT-1005,CL-1005,Pharmaceuticals Holdings Corp - Contract Breach,Environmental,09/09/2021,Ayesha Khan,43K
MAT-1006,CL-1006,Pharmaceuticals Systems v. ACME Corp - Employment Dispute,Employment,2022-12-01,James Wilson,26149
MAT-1007,CL-1007,Banking Holdings Corp v. ACME Corp - Employment Dispute,Environmental,2025-06-14,Michael Brown,44422
MAT-1008,CL-1008,Manufacturing Group LLC - Master Services Agreement Negotiation,Tax,06-Jan-2022,Lina Gomez,"25,301"
MAT-1009,CL-1009,Telecommunications Holdings Corp - Regulatory Inquiry,Regulatory,11-Aug-2023,Robert Taylor,30262
MAT-1010,CL-1010,Automotive Systems - Master Services Agreement Negotiation,Immigration,02/08/2024,Emily Davis,16K
MAT-1011,CL-1011,Healthcare Holdings Corp - Contract Breach,Tax,29/08/21,Ayesha Khan,"""35,217.00"""
MAT-1012,CL-1012,Technology International v. ACME Corp - Employment Dispute,Regulatory,1729672480,Lina Gomez,"24,942"
MAT-1013,CL-1013,Retail Solutions Inc - Contract Breach,Contracts,2021-01-21,Robert Taylor,"""28,717.00"""
MAT-1014,CL-1014,Telecommunications Group LLC - Master Services Agreement Negotiation,M&A,05/01/2023,Ayesha Khan,15268
MAT-1015,CL-1015,Energy Partners - Master Services Agreement Negotiation,M&A,16/04/22,Emily Davis,"""46,989.00"""
MAT-1016,CL-1016,Finance Holdings Corp - Master Services Agreement Negotiation,Environmental,20-Aug-2025,Sarah Chen,8K
MAT-1017,CL-1017,Real Estate Group LLC v. ACME Corp - Employment Dispute,Employment,1640939680,Sarah Chen,36649
MAT-1018,CL-1018,Aerospace Systems - Contract Breach,M&A,24-Aug-2023,Hannah Lee,14K
MAT-1019,CL-1019,Construction Group LLC - Contract Breach,Contracts,2024-09-05,Daniel Park,44295
MAT-1020,CL-1020,Technology Partners v. ACME Corp - Employment Dispute,M&A,10/05/25,Daniel Park,14K
MAT-1021,CL-1021,Finance Holdings Corp - Regulatory Inquiry,Employment,2024-11-19,Michael Brown,"""30,952.00"""
MAT-1022,CL-1022,Finance Holdings Corp - Master Services Agreement Negotiation,Litigation,18/09/2022,Sarah Chen,5755
MAT-1023,CL-1023,Transportation Solutions Inc v. ACME Corp - Employment Dispute,Environmental,12-Sep-2024,Ayesha Khan,45030
MAT-1024,CL-1024,Healthcare Solutions Inc - Regulatory Inquiry,Contracts,10/09/2022,Hannah Lee,47K
MAT-1025,CL-1025,Retail Systems - Contract Breach,Corporate,03/07/21,Michael Brown,10401
MAT-1026,CL-1026,Pharmaceuticals Systems - Regulatory Inquiry,Contracts,02/07/23,Hannah Lee,24739
MAT-1027,CL-1027,Pharmaceuticals Group LLC - Regulatory Inquiry,IP,19/11/2021,Daniel Park,14K
MAT-1028,CL-1028,Technology Solutions Inc v. ACME Corp - Employment Dispute,IP,2023-06-30,Daniel Park,"€34,706"
MAT-1029,CL-1029,Transportation International - Contract Breach,M&A,22-May-2023,Hannah Lee,21K
MAT-1030,CL-1030,Technology International - Regulatory Inquiry,IP,06/12/2024,Lina Gomez,13K
MAT-1031,CL-1031,Aerospace International - Contract Breach,Contracts,19-Oct-2021,Daniel Park,34024
MAT-1032,CL-1032,Construction Group LLC - Regulatory Inquiry,Environmental,1710491680,Ayesha Khan,49820
MAT-1033,CL-1033,Banking Partners - Regulatory Inquiry,M&A,17/02/21,James Wilson,"€49,031"
MAT-1034,CL-1034,Retail Solutions Inc - Regulatory Inquiry,Contracts,16/04/23,Emily Davis,26K
MAT-1035,CL-1035,Construction Partners - Master Services Agreement Negotiation,Employment,15-Jul-2024,Ayesha Khan,36549
MAT-1036,CL-1036,Manufacturing Holdings Corp - Regulatory Inquiry,Regulatory,2024-11-26,Daniel Park,32728
MAT-1037,CL-1037,Retail Partners - Master Services Agreement Negotiation,M&A,30/06/2024,Michael Brown,46519
MAT-1038,CL-1038,Aerospace Group LLC - Regulatory Inquiry,Tax,2025-08-11,Hannah Lee,20083
MAT-1039,CL-1039,Automotive Partners - Regulatory Inquiry,Corporate,2025-03-19,Daniel Park,"$13,655.00"
MAT-1040,CL-1040,Manufacturing Holdings Corp v. ACME Corp - Employment Dispute,Employment,2023-12-02,James Wilson,"40,017"
MAT-1041,CL-1041,Automotive Group LLC - Regulatory Inquiry,IP,24-Jan-2025,Lina Gomez,47443
MAT-1042,CL-1042,Banking Systems - Regulatory Inquiry,Employment,2022-08-04,Mark Thompson,"$29,335"
MAT-1043,CL-1043,Insurance Holdings Corp - Master Services Agreement Negotiation,Regulatory,2021-06-05,Emily Davis,36871
