client_id,company_name,industry,annual_revenue,contact_phone,created_at
CL-1001,Healthcare Solutions Inc,Pharmaceuticals,"$33,868,828",(954) 304-9935,2023-05-03
CL-1002,Aerospace Solutions Inc,Telecommunications,"€27,687,537",+1-918-758-7873,23/10/17
CL-1003,Finance Group LLC,Technology,14718431,299.567.6635,1729326878
CL-1004,Construction Systems,Technology,"$49,537,831",+1-921-271-1750,2019-05-14
CL-1005,Pharmaceuticals Holdings Corp,Real Estate,"$50,684,848",+1-886-473-2169,1636360478
CL-1006,Pharmaceuticals Systems,Transportation,"""30,476,249.00""",+1-986-994-1916,2018-02-28
CL-1007,Banking Holdings Corp,Transportation,88971488,858.669.3340,29/03/2020
CL-1008,Manufacturing Group LLC,Energy,"$69,387,461.00",+1-973-248-2796,1587458078
CL-1009,Telecommunications Holdings Corp,Real Estate,"€2,540,956",317.898.9797,18-Mar-2018
CL-1010,Automotive Systems,Real Estate,"$68,187,530",+1-719-308-5889,18/04/2017
CL-1011,Healthcare Holdings Corp,Automotive,"$33,138,745",780-280-2403,10/03/25
CL-1012,Technology International,Finance,"57,792,612",973.947.4295,19/06/2023
CL-1013,Retail Solutions Inc,Retail,"3,823,170",(435) 802-4608,2019-03-30
CL-1014,Telecommunications Group LLC,Healthcare,"$90,788,677",+1-752-335-8744,2020-05-24
CL-1015,Energy Partners,Energy,"€91,377,459",300.262.7596,06/07/2018
CL-1016,Finance Holdings Corp,Energy,"$34,528,453.00",(653) 763-2604,13/01/16
CL-1017,Real Estate Group LLC,Real Estate,8869910,202-599-5345,29/12/23
CL-1018,Aerospace Systems,Automotive,"""9,181,586.00""",+1-258-251-8811,2017-06-14
CL-1019,Construction Group LLC,Pharmaceuticals,"$17,090,908",(792) 808-1651,14-Jun-2019
CL-1020,Technology Partners,Retail,"""91,152,735.00""",(668) 523-2188,08/08/2018
CL-1021,Finance Holdings Corp,Technology,"""33,787,299.00""",361.648.9900,11/09/2021
CL-1022,Finance Holdings Corp,Transportation,"15,366,125",+1-359-478-5616,07/07/2017
CL-1023,Transportation Solutions Inc,Transportation,"""86,132,217.00""",+1-245-203-6464,02/02/2021
CL-1024,Healthcare Solutions Inc,Automotive,"""74,227,889.00""",796-765-3426,2025-06-08
CL-1025,Retail Systems,Pharmaceuticals,"48,469,942",+1-616-835-3532,02/02/17
CL-1026,Pharmaceuticals Systems,Insurance,"€36,810,056",310-591-1634,20-Jan-2024
CL-1027,Pharmaceuticals Group LLC,Automotive,"$45,058,573.00",991-485-6753,2022-09-18
CL-1028,Technology Solutions Inc,Aerospace,"""81,070,438.00""",(946) 521-8149,2020-12-19
CL-1029,Transportation International,Telecommunications,"$49,884,978.00",(880) 538-6143,1609490079
CL-1030,Technology International,Banking,"€26,748,341",588.893.3851,14-Feb-2021
CL-1031,Aerospace International,Insurance,63409658,891-418-9375,19/11/2020
CL-1032,Construction Group LLC,Healthcare,"$31,150,759",+1-350-225-1757,1476693279
CL-1033,Banking Partners,Banking,"$54,640,499",(871) 904-1090,07/02/2023
CL-1034,Retail Solutions Inc,Telecommunications,18896471,883-743-6198,07/11/2016
CL-1035,Construction Partners,Banking,"$35,788,100",852-483-9540,2017-05-29
CL-1036,Manufacturing Holdings Corp,Technology,"$11,814,950",+1-436-592-3503,15/04/2024
CL-1037,Retail Partners,Automotive,"$79,393,811.00",983-789-7232,1516005279
CL-1038,Aerospace Group LLC,Insurance,30450273,697.229.7371,1665563679
CL-1039,Automotive Partners,Telecommunications,"$76,751,409.00",+1-285-858-8022,1527496479
CL-1040,Manufacturing Holdings Corp,Real Estate,38346970,(458) 283-8705,28/05/17
CL-1041,Automotive Group LLC,Insurance,"$3,735,359",(444) 329-8758,15-Nov-2018
